Date : 2023-12-29 22:52:33
Directory : e:\work\github\EasyEngine
Total : 2325 files,  417012 codes, 103778 comments, 60550 blanks, all 581340 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |      1,207 |    214,837 |     87,506 |     44,134 |    346,477 |
| HTML             |        700 |    143,958 |      3,494 |      6,894 |    154,346 |
| C                |         69 |     30,403 |      3,857 |      5,825 |     40,085 |
| Plain Text (PDF) |          1 |      6,825 |      7,914 |         42 |     14,781 |
| JavaScript       |         96 |      5,238 |        104 |        176 |      5,518 |
| Markdown         |         13 |      3,788 |          0 |      1,243 |      5,031 |
| Objective-C      |          5 |      3,179 |        334 |        735 |      4,248 |
| CSS              |          5 |      2,702 |         98 |        530 |      3,330 |
| GLSL             |         77 |      1,815 |         56 |        443 |      2,314 |
| Python           |         14 |      1,355 |        269 |        180 |      1,804 |
| YAML             |          6 |        947 |         13 |         74 |      1,034 |
| XML              |          2 |        938 |          6 |          6 |        950 |
| SCSS             |          1 |        330 |         28 |         92 |        450 |
| JSON             |        105 |        298 |         54 |         88 |        440 |
| CMake            |         14 |        237 |          0 |         43 |        280 |
| Shell Script     |          8 |        151 |         45 |         44 |        240 |
| Ini              |          1 |          6 |          0 |          0 |          6 |
| Perl             |          1 |          5 |          0 |          1 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |      2,325 |    417,012 |    103,778 |     60,550 |    581,340 |
| . (Files)                                                                                                                      |          1 |          5 |          0 |          2 |          7 |
| engine                                                                                                                         |      2,324 |    417,007 |    103,778 |     60,548 |    581,333 |
| engine\asset                                                                                                                   |          1 |         20 |          0 |          3 |         23 |
| engine\asset\data                                                                                                              |          1 |         20 |          0 |          3 |         23 |
| engine\configs                                                                                                                 |          1 |          6 |          0 |          0 |          6 |
| engine\shader                                                                                                                  |         77 |      1,815 |         56 |        443 |      2,314 |
| engine\shader (Files)                                                                                                          |          5 |         53 |          5 |         16 |         74 |
| engine\shader\common                                                                                                           |         17 |        372 |         13 |         97 |        482 |
| engine\shader\lighting                                                                                                         |          9 |        329 |         17 |         92 |        438 |
| engine\shader\postprocessing                                                                                                   |         13 |        293 |          6 |         67 |        366 |
| engine\shader\scene                                                                                                            |          2 |         26 |          2 |          1 |         29 |
| engine\shader\test                                                                                                             |         31 |        742 |         13 |        170 |        925 |
| engine\source                                                                                                                  |        102 |      5,465 |        426 |        770 |      6,661 |
| engine\source\runtime                                                                                                          |        102 |      5,465 |        426 |        770 |      6,661 |
| engine\source\runtime (Files)                                                                                                  |          2 |        115 |         35 |         17 |        167 |
| engine\source\runtime\core                                                                                                     |          4 |         76 |          6 |         18 |        100 |
| engine\source\runtime\core\base                                                                                                |          1 |         36 |          1 |          5 |         42 |
| engine\source\runtime\core\math                                                                                                |          3 |         40 |          5 |         13 |         58 |
| engine\source\runtime\function                                                                                                 |         58 |      3,641 |        253 |        510 |      4,404 |
| engine\source\runtime\function\global                                                                                          |          2 |         34 |          1 |          6 |         41 |
| engine\source\runtime\function\render                                                                                          |         56 |      3,607 |        252 |        504 |      4,363 |
| engine\source\runtime\function\render (Files)                                                                                  |         10 |        460 |         12 |         72 |        544 |
| engine\source\runtime\function\render\basic_shape                                                                              |          2 |        195 |         10 |         17 |        222 |
| engine\source\runtime\function\render\lighting                                                                                 |          8 |        579 |         83 |         74 |        736 |
| engine\source\runtime\function\render\postprocessing                                                                           |          6 |        529 |         49 |         89 |        667 |
